行政區,場所名稱,場所地址,管理單位,連絡電話,場所開放時間,飲水台數,設置地點,緯度,經度
大安,忠孝復興站,台北市忠孝東路3段286號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,2,1號出口及2號出口,25.041263,121.543247
中山,南京復興站,臺北市南京東路3段253號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,3,2號出口、7號出口,25.052392,121.544527
中山,中山國中站,台北市復興北路376號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,出口左側,25.060836,121.544022
信義,市政府站,台北市忠孝東路5段2號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,2號出口,25.040958,121.565295
信義,國父紀念館,台北市忠孝東路4段400號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,4號出口,25.041116,121.557942
大安,忠孝敦化站,台北市忠孝東路4段182號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,3號出口,25.041347,121.551494
大安,忠孝新生站,台北市新生南路1段67號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,3,1號出口、5號出口,25.042746,121.531944
大安,東門站,台北市信義路2段166號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,2,1、3號出口間,25.034157,121.527972
中正,善導寺站,台北市忠孝東路1段58號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,1號出口,25.044999,121.523221
中正,西門站,台北市寶慶路32-1號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,4號出口,25.042309,121.508805
萬華,龍山寺站,台北市西園路1段153號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,1號出口,25.035497,121.499564
中正,小南門站,台北市愛國西路22號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,3、4號出口間,25.035359,121.511382
信義,永春站,台北市忠孝東路5段455號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,5號出口,25.040836,121.576648
南港,後山埤站,台北市忠孝東路6段2號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,3號出口,25.04528,121.582872
南港,昆陽站,台北市忠孝東路6段451號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,3號出口,25.050608,121.593627
南港,南港站,台北市忠孝東路7段380號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,2號出口,25.051943,121.607446
南港,南港展覽館站,台北市南港路1段32號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,3,3號出口、5號出口及6、7號出口間,25.055104,121.618266
信義,信義安和站,台北市信義路4段212號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,2,5號出口,25.033316,121.553587
信義,台北101/世貿站,台北市信義路5段20號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,2,4、5號出口間,25.033143,121.5632
信義,象山站,台北市信義路5段152號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,2,2號出口,25.032733,121.569546
大安,大安森林公園站,台北市信義路3段100號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,2,5號出口,25.063067,121.552116
松山,松山機場站,台北市敦化北路338號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,3號出口,25.063067,121.552116
中山,大直站,台北市北安路534-1號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,2號出口,25.079658,121.546882
內湖,西湖站,台北市內湖路1段265號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,2號出口,25.082022,121.567139
內湖,港墘站,台北市內湖路1段663號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,1號出口,25.080116,121.575722
內湖,文德站,台北市文德路214號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,2號出口,25.078349,121.584465
內湖,內湖站,台北市成功路4段186號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,1號出口,25.083822,121.594299
內湖,大湖公園站,台北市成功路5段11號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,2號出口,25.083679,121.602242
內湖,葫洲站,台北市康寧路3段16號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,2號出口,25.072543,121.607194
內湖,東湖站,台北市康寧路3段235號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,3號出口,25.06709,121.611888
中山,劍南路站,台北市北安路4段798號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,2,,25.07662,121.526801
南港,南港軟體園區站,台北市經貿二路183號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,1,1號出口,25.060354,121.616028
文山,貓空纜車動物園站,台北市新光路2段32號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,2,2號出口,24.996052,121.576164
中山,松江南京站,台北市中山區松江路126號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,4,2號出口及4、5、6、7號出口中間,25.051352,121.532918
中山,行天宮站,台北市松江路316號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,2,3號出口,25.059975,121.533192
中山,中山國小站,台北市民權東路1段71號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,2,4號出口,25.062701,121.526682
大同,大橋頭站,台北市民權西路223號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,2,1號出口,25.063195,121.512619
大同,北門站,台北市塔城街10號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,2,1、2號出口間,25.049408,121.510256
松山,台北小巨蛋站,台北市南京東路4段10-1號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,2,2號出口,25.051515,121.551023
松山,南京三民站,台北市南京東路5段237號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,2,1號出口,25.051539,121.563305
松山,松山站,台北市八德路4段742號,臺北大眾捷運股份有限公司,21812345,06:00~23:00,2,3號出口,25.050361,121.578119
萬華,青年公園,台北市水源路199號,工務局公園處青年管理所,23032451,0:00~24:00,3,愛心園地、四號門兒童遊戲區左側及右側,25.025879,121.506281
松山,民權公園,台北市富錦街389巷12弄18號,工務局公園處南港管理所,27884255,0:00~24:00,1,公園內,25.059878,121.551933
中正,二二八和平公園,台北市凱達格蘭大道3號,工務局公園處青年管理所,23032451,0:00~24:00,2,公園內,25.040898,121.515403
中山,新生公園,台北市新生北路三段105號,工務局公園處圓山管理所,25850192,0:00~24:00,2,公園內,25.068788,121.53243
中山,美術公園,中山北路東側美術公園,工務局公園處圓山管理所,25850192,0:00~24:00,3,公園內,25.069227,121.523767
中山,大佳河濱公園,大佳河濱公園,工務局水利工程處,27126390,0:00~24:00,8,大佳河濱公園,25.075124,121.530697
文山,景華公園,台北市景華街42號對面,工務局公園處南港管理所,27884255,0:00~24:00,1,3號入口處,24.995231,121.5431
文山,興隆公園,台北市興隆路2段220巷,工務局公園處南港管理所,27884256,0:00~24:00,1,瓦斯行側面,25.000615,121.551876
大安,大安森林公園,台北市建國南路2段,工務局公園處青年管理所,23032451,0:00~24:00,3,兒童遊樂場旁、溜冰場旁、籃球場旁,25.032738,121.536303
南港,南港公園,台北市東新街170號,工務局公園處南港管理所,27884255,0:00~24:00,1,籃球場旁,25.046018,121.591209
南港,玉成公園,台北市成福路105號對面,工務局公園處南港管理所,27884255,0:00~24:00,1,籃球場旁,25.042417,121.587277
內湖,碧湖公園,台北市內湖路2段175號,工務局公園處圓山管理所,25850192,0:00~24:00,1,閱覽室門口,25.082695,121.582865
北投,泉源公園,台北市珠海路155號,工務局公園處陽明山管理所,28616533,0:00~24:00,1,義方國小對面,25.141778,121.50968
北投,前山公園,台北市建國街4號,工務局公園處陽明山管理所,28616534,0:00~24:00,1,籃球場旁,25.150675,121.548623
士林,天母公園,台北市中山北路7段181巷,工務局公園處陽明山管理所,28616535,0:00~24:00,1,籃球場旁,25.125628,121.530515
信義,市政大樓,台北市市府路1號,市政大樓公管中心,27208889,08:00~18:00,6,中央南2樓、中北2樓、中北1樓、中北B1樓、中央南1樓、中央南B1樓,25.037214,121.564472
中正,中正區公所,台北市羅斯福路1段8號4F,中正區公所,23416721,08:00~18:00,1,1樓,25.032211,121.518347
北投,復興公園,臺北市中和街65號對面,產發局公用事業科,27208889,0:00~24:00,1,泡腳池旁,25.138884,121.502129
北投,硫磺谷遊憩區,台北市泉源路200號,產發局公用事業科,27208889,0:00~24:00,1,泡腳池旁,25.143723,121.521581
中山,中山市場,臺北市長安西路3號,北水處北區分處,21004115,0:00~24:00,1,大門,25.050094,121.521021
中山,榮星花園,民權東路三段1號(民權東路建國北路),工務局公園處圓山管理所,25850192,0:00~24:00,2,遊戲場及籃球場旁,25.0641,121.53844
松山,三民公園,撫遠街298號,工務局公園處圓山管理所,25850192,0:00~24:00,1,遊戲場旁,25.062557,121.568151
中山,林森公園,南京東路一段林森北路右側,工務局公園處圓山管理所,25850192,0:00~24:00,1,遊戲場旁,25.05289,121.526297
內湖,內湖運動公園,舊宗路二段2號(內湖污水處理廠回饋公園),衛工處,87919494轉103,0:00~24:00,1,遊戲場旁,25.068674,121.574422
中山,新生高架籃球場,金山北路與八德路一段口附近,體育局,25702330轉6513,0:00~24:00,1,籃球場旁,25.044894,121.530377
萬華,青年公園,水源路199號,公園處,23032451,0:00~24:00,1,籃球場旁,25.02072,121.50487
信義,信義414號,信安街、吳興街220巷交口(原陸軍保養廠).,公園處南港所,27884255,0:00~24:00,1,籃球場旁,25.02701,121.558836
北投,七星公園,光明路157巷2弄(七虎公園旁).,工務局公園處陽明山管理所,28616533,0:00~24:00,1,電梯旁,25.13655,121.502348
士林,美崙公園,美崙街153巷(台北市立天文台天文科學館旁),工務局公園處陽明山管理所,28616533,0:00~24:00,1,網球場旁,25.097599,121.518898
文山,台北市立圖書館力行分館,台北市文山區一壽街22號5~8樓,台北市立圖書館力行分館,02-86612196,週二至週六：08:30~21:00；週日、週一：9:00~17:00。,5,,24.979634,121.55648
松山,台北市立圖書館三民分館,台北市松山區民生東路五段163之1號5、6樓,台北市立圖書館三民分館,02-27600408,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.059315,121.562908
信義,台北市立圖書館三興分館,台北市信義區吳興街156巷6號4~5樓,台北市立圖書館三興分館,02-87321063,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.029075,121.561188
士林,台北市立圖書館士林分館,台北市士林區華聲街17號3樓,台北市立圖書館士林分館,02-28361994,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.096278,121.522253
大同,台北市立圖書館大同分館,台北市大同區重慶北路三段318號,台北市立圖書館大同分館,02-2954-3236,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.074304,121.513555
大安,台北市立圖書館大安分館,台北市大安區辛亥路三段223號4樓,台北市立圖書館大安分館,02-27325422,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.016022,121.550788
中山,台北市立圖書館大直分館,台北市中山區大直街25號3樓,台北市立圖書館大直分館,02-25336535,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.08185,121.546687
中山,台北市立圖書館中山分館,台北市中山區松江路367號8樓,台北市立圖書館中山分館,02-25026442,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.064426,121.533457
內湖,台北市立圖書館內湖分館,台北市內湖區民權東路六段99號6樓,台北市立圖書館內湖分館,02-27918772,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,,25.069239,121.589128
信義,台北市立圖書館六合分館,台北市信義區松仁路240巷19號3~5樓,台北市立圖書館六合分館,02-27292485,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5,,25.024541,121.568918
士林,台北市立圖書館天母分館,台北市士林區中山北路七段154巷6號3樓,台北市立圖書館天母分館,02-28736203,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.123345,121.533007
文山,台北市立圖書館文山分館,台北市文山區興隆路2段106號7樓,台北市立圖書館文山分館,02-29315339,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5,,24.999697,121.547614
文山,台北市立圖書館木柵分館,台北市文山區保儀路一段13巷3號3樓,台北市立圖書館木柵分館,02-29397520,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,24.986603,121.56814
北投,台北市立圖書館北投分館,台北市北投區光明路251號,台北市立圖書館北投分館,02-28912095,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.136298,121.506296
中正,台北市立圖書館古亭分館,台北市中正區汀州路二段265號,台北市立圖書館古亭分館,02-23678734,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.022545,121.523804
松山,台北市立圖書館民生分館,台北市松山區敦化北路199巷5號4樓,台北市立圖書館民生分館,02-27138083,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.057122,121.55113
北投,台北市立圖書館永明閱覽室,台北市北投區石牌路二段115號7、8樓,台北市立圖書館永明閱覽室,02-28234141,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.118068,121.517176
文山,台北市立圖書館永建分館,台北市文山區木柵路一段177號4樓,台北市立圖書館永建分館,02-22367448,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,24.987736,121.550974
信義,台北市立圖書館永春分館,台北市信義區松山路294號3、4樓,台北市立圖書館永春分館,02-27609730,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.043069,121.577577
北投,台北市立圖書館石牌分館,台北市北投區明德路208巷5號3-10樓,台北市立圖書館石牌分館,02-28239634,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,8,,25.113142,121.522624
北投,台北市立圖書館吉利分館,台北市北投區立農街一段366號,台北市立圖書館吉利分館,02-28201633,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.119288,121.508402
文山,台北市立圖書館安康民眾閱覽室,台北市文山區興隆路4段105巷1號4樓,台北市立圖書館安康民眾閱覽室,02-29390180,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,,24.987728,121.5608
大安,台北市立圖書館成功民眾閱覽室,台北市大安區和平東路二段311巷29號4樓,台北市立圖書館成功民眾閱覽室,02-27013604,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,,25.025435,121.545272
內湖,台北市立圖書館西湖分館,台北市內湖區內湖路一段594號,台北市立圖書館西湖分館,02-27973183,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4,,25.07894,121.577561
萬華,台北市立圖書館西園分館,台北市萬華區興寧街6號,台北市立圖書館西園分館,02-23069046,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5,,25.032193,121.501718
大同,台北市立圖書館延平分館,台北市大同區保安街47號,台北市立圖書館延平分館,02-25981387,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,5,,25.059169,121.512092
內湖,台北市立圖書館東湖分館,台北市內湖區五分街6號,台北市立圖書館東湖分館,02-26323378,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,,25.067415,121.61261
萬華,台北市立圖書館東園分館,台北市萬華區東園街199號,台北市立圖書館東園分館,02-23070460,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4,,25.022722,121.498094
松山,台北市立圖書館松山分館,台北市松山區八德路四段688號6、7、8樓,台北市立圖書館松山分館,02-27531875,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4,,25.049847,121.57685
中山,台北市立圖書館長安分館,台北市中山區長安西路3號4樓,台北市立圖書館長安分館,02-25625510,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,,25.05021,121.520954
南港,台北市立圖書館南港分館,台北市南港區南港路一段287巷4弄10號2樓,台北市立圖書館南港分館,02-27825232,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.054003,121.607753
中正,台北市立圖書館城中分館,台北市中正區濟南路二段46號3樓,台北市立圖書館城中分館,02-23938274,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.040328,121.530854
大同,台北市立圖書館建成分館,台北市大同區民生西路198號4樓,台北市立圖書館建成分館,02-25582320,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,,25.057032,121.516825
中山,台北市立圖書館恆安民眾閱覽室,台北市中山區民權東路1段71巷,台北市立圖書館恆安民眾閱覽室,02-25935482,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.064394,121.527136
松山,台北市立圖書館啟明分館,台北市松山區敦化北路155巷76號,台北市立圖書館啟明分館,02-25148443,09:00~17:00,4,,25.054339,121.551794
北投,台北市立圖書館清江分館,台北市北投區公館路198號3樓,台北市立圖書館清江分館,02-28960315,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.127728,121.50736
文山,台北市立圖書館景美分館,台北市文山區羅斯福路五段176巷50號,台北市立圖書館景美分館,02-29328457,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.003607,121.536345
文山,台北市立圖書館景新分館,台北市文山區景後街149巷間,台北市立圖書館景新分館,02-29331244,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,6,,24.990137,121.542022
文山,台北市立圖書館萬芳民眾閱覽室,台北市文山區萬美街1段25號,台北市立圖書館萬芳民眾閱覽室,02-22305233,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,,25.002215,121.569178
萬華,台北市立圖書館萬華分館,台北市東園街19號5~7樓,台北市立圖書館萬華分館,02-23391056,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.027925,121.495727
文山,台北市立圖書館萬興分館,台北市文山區萬壽路27號4樓,台北市立圖書館萬興分館,02-22345501,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4,,24.988685,121.576501
萬華,台北市立圖書館柳鄉民眾閱覽室,台北市萬華區環河南路二段102號4樓,台北市立圖書館柳鄉民眾閱覽室,02-23080586,09:00~17:00,1,,25.036893,121.495492
大安,台北市立圖書館道藩分館,台北市大安區辛亥路三段11號3樓,台北市立圖書館道藩分館,02-27334031,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,,25.021577,121.544049
北投,台北市立圖書館稻香分館,台北市北投區稻香路81號3、4樓,台北市立圖書館稻香分館,02-28940662,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.140967,121.489548
萬華,台北市立圖書館龍山分館,台北市萬華區桂林路65巷6號,台北市立圖書館龍山分館,02-23311497,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.038549,121.502339
大安,台北市立圖書館龍安民眾閱覽室,台北市大安區永康街60號3樓,台北市立圖書館龍安民眾閱覽室,02-23945485,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.028559,121.529601
南港,台北市立圖書館龍華民眾閱覽室,台北市南港區東新街78號2樓,台北市立圖書館龍華民眾閱覽室,02-27851740,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.046144,121.586757
大安,台北市立圖書館總館,台北市大安區建國南路二段125號,台北市立圖書館總館,02-27552823,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,25,,25.029152,121.538369
內湖,台北市立圖書館西中分館,臺北市內湖區內湖路1段285巷66號1-2樓,台北市立圖書館西中分館,02-87515497,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.083659,121.562154
松山,臺北市立圖書館中崙分館,臺北市松山區長安東路2段229號7~10樓,臺北市立圖書館中崙分館,02-87736858,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,3,,25.048407,121.545756
北投,臺北市立圖書館秀山民眾閱覽室,臺北市北投區中和街534號5至9樓,臺北市立圖書館秀山民眾閱覽室,02-28921475,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.145541,121.493219
大安,臺北市立圖書館延吉民眾閱覽室,臺北市大安區延吉街236巷17號3~4F,臺北市立圖書館延吉民眾閱覽室,02-27081964,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,2,,25.03613,121.555015
士林,臺北市立圖書館葫蘆堵分館,台北市士林區延平北路5段136巷1號,臺北市立圖書館葫蘆堵分館,02-28126513,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,6,,25.082222,121.510899
南港,臺北市立圖書館舊莊分館,臺北市南港區舊莊街1段91巷11號2樓,臺北市立圖書館舊莊分館,02-27837212,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,4,,25.041307,121.619483
大同,臺北市立圖書館蘭州民眾閱覽室,臺北市大同區昌吉街57號4樓,臺北市立圖書館蘭州民眾閱覽室,02-25981387,週二至週六：08:30~21:00；週日、週一：09:00~17:00。,1,,25.066061,121.515106
中正,台北市立聯合醫院和平院區,台北市中正區中華路2段33號,台北市立聯合醫院和平院區,02-23889595,0:00~24:00,33,,25.035561,121.506588
信義,台北市立聯合醫院松德院區,台北市信義區松德路309號,台北市立聯合醫院松德院區,02-27263141#1390,0:00~24:00,50,,25.030508,121.574895
大同,台北市立聯合醫院中興院區,台北市大同區鄭州路145號,台北市立聯合醫院中興院區,02-25523234#3279,0:00~24:00,32,,25.05097,121.509321
萬華,台北市立聯合醫院中醫院區,台北市萬華區昆明街100號,台北市立聯合醫院中醫院區,02-23887008,0:00~24:00,5,,25.044324,121.50492
大安,台北市立聯合醫院仁愛院區,台北市大安區仁愛路4段10號,台北市立聯合醫院仁愛院區,02-27093600,0:00~24:00,49,,25.037512,121.545224
中正,台北市立聯合醫院和平婦幼院區,台北市中正區福州街12號,台北市立聯合醫院和平婦幼院區,02-23916470#214,0:00~24:00,21,,25.029082,121.519268
南港,台北市立聯合醫院忠孝院區,台北市南港區同德路87號,台北市立聯合醫院忠孝院區,02-27861288#8094,0:00~24:00,23,,25.046533,121.586075
萬華,台北市立聯合醫院昆明疾病管制院區,台北市萬華區昆明街100號2-3樓,台北市立聯合醫院昆明疾病管制院區,02-237803739,0:00~24:00,5,,25.044324,121.50492
中山,台北市立聯合醫院林森中醫院區,台北市中山區林森北路530號,台北市立聯合醫院林森中醫院區,02-25916681-533,0:00~24:00,8,,25.063291,121.525628
士林,台北市立聯合醫院陽明院區,台北市士林區雨聲街105號,台北市立聯合醫院陽明院區,02-28353456,0:00~24:00,52,,25.105333,121.531762
中正,台北市立中正運動中心,臺北市中正區信義路一段一號,台北市立中正運動中心,02-33225016,06:00~22:00,9,,25.038234,121.519291
萬華,台北市立萬華運動中心,臺北市萬華區西寧南路6之1號,台北市立萬華運動中心,02-23818878,06:00~22:00,5,,25.047408,121.506753
文山,台北市立文山運動中心,臺北市文山區興隆路3段222號,台北市立文山運動中心,02-22308268,06:00~22:00,4,,24.997445,121.559465
大安,台北市立大安運動中心,臺北市大安區辛亥路3段55號,台北市立大安運動中心,02-23770300,06:00~22:00,7,,25.020777,121.545636
信義,台北市立信義運動中心,臺北市信義區松勤路100號,台北市立信義運動中心,02-87861911,06:00~22:00,5,,25.031866,121.566678
南港,台北市立南港運動中心,臺北市南港區玉成街69號,台北市立南港運動中心,02-22536279,06:00~22:00,8,,25.048938,121.58184
松山,台北市立松山運動中心,臺北市松山區敦化北路一號,台北市立松山運動中心,02-66176789,06:00~22:00,4,,25.048607,121.550231
內湖,台北市立內湖運動中心,臺北市內湖區洲子街12號,台北市立內湖運動中心,02-26277776,06:00~22:00,4,,25.078266,121.575229
中山,台北市立中山運動中心,臺北市中山區中山北路二段44巷2號,台北市立中山運動中心,02-25811060,06:00~22:00,5,,25.05489,121.521393
大同,台北市立大同運動中心,台北市大同區大龍街51號,台北市立大同運動中心,02-25920055,06:00~22:00,5,,25.065281,121.516175
士林,台北市立士林運動中心,台北市士林區士商路1號,台北市立士林運動中心,02-28806066,06:00~22:00,4,,25.089668,121.521411
